,IES,Programa,Cod_Area,Titulo,Autor,Tipo,Defesa,Resumo,Keywords,link_trabalho
32,Universidade Federal Fluminense,Educação ,31003010001P0,"Escola Sem Partido: Concepções De Escola, Educação, Formação Humana E Sociedade",Helton Messini Da Costa,Dissertação,28/02/2019,"Em 2004, surgia na sociedade brasileira um movimento denominado “Escola Sem Partido” (MESP). Criado pelo advogado e procurador de justiça do Estado de São Paulo, Miguel Francisco Urbano Nagib, o MESP despontava como uma reação a um episódio em que um professor de história de sua filha, num colégio privado na cidade de Brasília, havia comparado Che Guevara a São Francisco de Assis. Em pouco menos de uma década, o movimento que em seu início não alcançou grande repercussão tornou-se centro dos debates educacionais, servindo, inclusive, de bandeira de campanhas eleitorais no pleito de 2018. Portanto, dada essa vertiginosa abrangência, o exercício de reflexão presente nesta pesquisa tem por objetivo investigar e analisar esse fenômeno, bem como, suas implicações para a educação e para a sociedade brasileira. Para tanto, almejamos primeiro organizar um panorama histórico a fim de compreender a gênese do movimento e de seu projeto de escola e de sociedade, situando suas determinações históricas. Como o MESP se expressa de distintas formas, optamos por investigar com maior ênfase o Programa Escola Sem Partido que deriva do movimento, na intenção de identificar as concepções de educação, trabalho e formação humana que emergem deste. Não menos importante será a tentativa de entender qual o papel dos professores, na condição de intelectuais, frente aos desafios que poderão emergir com esse projeto. Doravante, a partir da compreensão do fenômeno, pretendemos desdobrar as análises para as questões pontuais que versam sobre seus impactos ao trabalho do professor, sua estreita relação com determinadas frações das igrejas evangélicas e da Igreja Católica, o avanço do uso do termo “ideologia de gênero” preconizado por essas frações religiosas, bem como, a acusação de que os professores promovem a “doutrinação marxista” em sala de aula. Como resultado, a pesquisa espera contribuir para a crítica ao MESP e seu programa ao buscar desvelar suas contradições alcançando a essência do fenômeno nas totalidades das relações econômicas, políticas e sociais.","['Escola', 'Sem', 'Partido;Educação;Trabalho;Formação', 'Humana;Intelectuais', 'Orgânicos']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7646242
33,Pontifícia Universidade Católica De São Paulo,Ciência Da Religião ,33005010009P0,Quando O Corpo É Um Só: Diversidade E Construção De Conhecimento Na Área De Ciências Da Religião,Manuela Ribeiro Cirigliano,Dissertação,26/05/2020,"Para a realização da avaliação quadrienal, a CAPES reúne os programas de pós-graduação de Ciência da Religião, Ciências da Religião, Ciências das Religiões e Teologia na Área 44 – Ciências da Religião e Teologia. Seu primeiro Documento da Área identificou uma acentuada assimetria de gênero em seu corpo docente, que se revelou composto em apenas 18% pelo sexo feminino no ano de 2016. O objetivo desta pesquisa é investigar a relação estabelecida entre cientistas mulheres e o campo de estudos relativo ao segmento Ciências da Religião da Área 44. Para tanto, foram analisados os dados disponibilizados pela Plataforma Sucupira relativos aos corpos docentes e discentes de pós-graduação no quadriênio 2013-2016, assim como a autoria e palavras-chave utilizadas nos trabalhos publicados nos periódicos científicos dos programas do segmento Ciências da Religião. O estudo foi sustentado pelas teorias feministas, a análise dos dados foi especialmente norteada pelos conceitos de “saberes localizados”, de Donna Haraway e de “fronteira”, de Glória Anzaldúa e a discussão foi atravessada pela experiência da autora da pesquisa enquanto mulher com uma condição genética rara, a Síndrome de Ehlers-Danlos. A pesquisa revelou que A.44 apresentou o pior desempenho dentre todas as áreas de avaliação de Ciências Humanas no que se refere à representatividade de mulheres, com índices compatíveis aos verificados nas Ciências Exatas e da Terra e nas Engenharias. Os percentuais apresentados pelos programas dos segmentos de Ciências da Religião foram pouco superiores aos identificados na Teologia e ambos não atingiram uma faixa percentual indicativa de equidade de gênero. As mulheres também assinaram significativamente menos trabalhos nas publicações dos periódicos analisados, mesmo quando se tratava de pesquisadoras de outras áreas, o que indica a presença de limites específicos para a atuação de mulheres na área. As palavras-chave, por sua vez, indicam que as temáticas trabalhadas por cientistas de ambos os sexos se coadunam aos estereótipos de gênero, o que implica na redução de pesquisas sobre temáticas associadas ao universo feminino. A conclusão é de que a área apresenta barreiras para a diversidade em seus corpos docentes e discentes - que podem estar relacionadas com a natureza de seu objeto de estudo - e que a homogeneidade do corpo científico tem impacto negativo sobre a diversidade do conhecimento produzido pela área.","['Ciências', 'da', 'Religião', 'e', 'Teologia;epistemologia;religiografia;saberes', 'localizados;Glória', 'Anzaldúa,', 'gênero;Síndrome', 'de', 'Ehlers-Danlos.']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10283000
34,Universidade Do Estado Do Rio De Janeiro,Letras ,31004016009P4,Do Visor Na Porta Das Salas De Aula À Mordaça Nos Professores: Uma Análise Discursiva Das Redes Conservadoras Do Escola Sem Partido - Projeto De Lei 867/2015,Juliana Silva Rettich,Dissertação,26/03/2018,"O objetivo desta pesquisa foi explorar qual ideologia não querem, na escola, aqueles que defendem o movimento Escola Sem Partido e quais são as redes discursivas cujos pontos de vista sustentam os enunciados presentes no Projeto de lei Programa Escola sem Partido (PL867-2015). Para isso, foram analisados o PL 867/15 e seus apensados, sendo destacados os enunciados que apresentavam a palavra ideologia e os que apresentavam enunciados negativos, recorrentes no PL 867, classificadas como negação polêmica. As noções de interdições do discurso também contribuem para compor a análise do corpus escolhido.  A fim de compreender discursos de que fazem parte o PL 867 e seus apensados, foram ainda utilizadas algumas postagens da página no Facebook Mães pelo Escola Sem Partido e denúncias na página do Programa Escola Sem Partido. O trabalho foi realizado a partir da perspectiva de estudos discursivos de base francesa, com autores como Dominique Maingueneau e Michel Foucault; para a negação polêmica, estudos de Oswald Ducrot e Marion Carel; para pensar ideologia, além de Foucault, conceitos de Karl Marx, Friedrich Engels, Eni Orlandi, Gilles Deleuze e Félix Guattari. É possível concluir que a neutralidade ideológica proposta para as escolas brasileiras está relacionada a determinadas ideologias e não a outras, como as das chamadas correntes de esquerda, por exemplo. Ao final, mesmo de forma breve, fica o importante destaque sobre como as leis no Brasil ganham status de verdade, levantando-se a hipótese de o discurso jurídico ser aqui um discurso constituinte ou fundante.  ","['Ideologia.;Doutrinação', 'Ideológica;.', 'Ideologia', 'de', 'gênero;Escola', 'Sem', 'Partido']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6549710
35,Pontifícia Universidade Católica De São Paulo,Ciência Da Religião ,33005010009P0,"Religião, Homossexualidade E Poder: Tensões Nas Conferências De Lambeth E Seus Reflexos Na Igreja Episcopal Anglicana Do Brasil",Silvia Geruza Fernandes Rodrigues,Tese,05/03/2020,"O objetivo desta tese foi analisar os documentos da Igreja Anglicana expedidos nas Conferências de Lambeth 1978 a 2008 nos itens referentes à sexualidade humana e sua recepção nas Igrejas Anglicanas, em especial na Igreja Anglicana do Brasil. A metodologia do presente trabalho consistiu em uma pesquisa bibliográfica e documental. Na bibliografia nos baseamos nos conceitos de religião e poder de Michel Foucault e nas trocas simbólicas de poder de Pierre Bourdieu para analisar os documentos expedidos pela IA tanto em Lambeth, como nos movimentos conservadores dentro da CA. Coletamos os documentos expedidos nas Conferências de Lambeth encontrados nos sites da Igreja Anglicana e Igreja Episcopal Anglicana do Brasil e realizamos entrevistas com líderes relevantes na Igreja Episcopal Anglicana do Brasil para termos uma informação dinâmica e viva de todo o processo. A análise apontou para uma coalisão dos conservadores do Norte Global com os líderes da Igreja Anglicana no Sul Global como reação à aceitação de abertura às novas descobertas científicas e médicas sobre a homossexualidade, com um jogo de poder para reinstaurar a ortodoxia e o conservadorismo. O decolonialismo também contribuiu para a recepção negativa das resoluções de Lambeth, principalmente no que concerne à homossexualidade, assunto sensível e nevrálgico na maior parte das igrejas no Sul Global.","['Religião,', 'Igreja', 'Anglicana,', 'Igreja', 'Episcopal', 'Anglicana', 'do', 'Brasil,', 'Homossexualidade,', 'Decolonialismo,', 'Poder.']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10286847
36,Universidade Federal De Juiz De Fora,Educação ,32005016007P0,Família E Escola: Estudo De Uma Relação (In)Delicada A Partir De Gênero,Raquel Santiago De Souza,Dissertação,31/03/2017,"A presente pesquisa busca conhecer a relação entre família e escola, através da análise de um conjunto de documentos escolares cujo objetivo é a comunicação com as famílias de estudantes do segundo ciclo do Ensino Fundamental (6º ao 9º ano) até o final do Ensino Médio – os conhecidos bilhetes escolares, em conjunto com a análise de reuniões. Esses dados foram cruzados com informações de documentos oficiais da educação e o levantamento bibliográfico. Foi utilizado também a ficha de matrícula que as responsáveis preenchem quando vão matricular seus dependentes e a análise de reuniões presenciais entre as escolas e as responsáveis por alunas, análise essa com inspirações etnográficas. Cumpre destacar que a presente pesquisa justifica sua importância na atual conjuntura do Brasil, no qual está em voga à disputa sobre modelos de família, currículos escolares e as perspectivas políticas no interior das escolas. São representações disso: o movimento escola sem partido (ONG que articula propostas para cercear o que professoras devem ensinar em suas salas. Proibir debates sobre gênero é uma das principais propostas.), o debate da “ideologia de gênero” (Nome em que fundamentalistas religiosos dão às questões relacionadas a gênero e sexualidade), e as disputas em torno do estatuto da família (PL 6583/2013 – Autor: Anderson Ferreira PR/PE). Soma-se a essas propostas conservadoras a recente proposta de reforma do Ensino Médio (Medida que pretende segmentar disciplinas por áreas, transformar o ensino em horário integral) que foi apresentada a sociedade por meio de medida provisória (MP 746/16). Torna-se necessário enfatizar que essas medidas de ataque às trabalhadoras brasileiras representam uma parte da conjuntura. Ações de resistência e luta estão acontecendo sistematicamente em várias partes do Brasil. São exemplos dessas lutas: as escolas básicas ocupadas, assim como reitorias de universidades, além de atos e protestos constates como forma de denúncia dessa situação de ataque a direitos conquistado.","['Família;Escola;Relações', 'de', 'gênero']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6239692
37,Fundação Universidade Federal De Sergipe,Letras ,27001016021P3,"Discurso, Mídia E Ensino: Processos De Objetivação/Subjetivação No Movimento Escolar Do Brasil Contemporâneo",Alisson Franca Santos,Dissertação,31/08/2020,"A presente pesquisa tem como objeto o discurso produzido pelo movimento escolar no Brasil contemporâneo. Para tanto, aludimos, inicialmente, a dois Projetos de Lei (doravante PL), cujas tramitações datam dos anos de 2015 a 2019, como partes das condições de emergência de um conjunto de enunciados desencadeados no ciberespaço. O primeiro, o PL 7800/2016, aprovado em votação pela Assembleia Legislativa do Estado de Alagoas (ALE-AL) em 2015, mas suspenso em 2017 pelo Supremo Tribunal Federal (STF); o segundo, o PL 867/2015, submetido à Câmara dos Deputados em 2015, arquivado anos depois, em 2019. Tais projetos, a despeito de suas especificidades, propunham em comum o “combate à doutrinação” e a punição de professores “por propagação de conteúdo ideológico”. A nossa hipótese é a de que esses diferentes PLs se configuraram como um acontecimento que institucionalizou os dizeres desse movimento, produzindo uma dispersão de seus enunciados na esfera digital, sobretudo nas redes sociais. Por essa razão, investigamos o discurso em pauta na página “Escola sem Partido”, presente na plataforma virtual do Facebook. E, com o fim de nortear a nossa pesquisa, elaboramos algumas perguntas decorrentes da problemática apresentada, quais sejam: que saberes são mobilizados pelo discurso do Escola sem Partido e qual a historicidade desses saberes? Por meio dos saberes mobilizados pelo discurso em análise, quais práticas discursivas e não discursivas são perpetuadas? Finalmente, considerando o conjunto de práticas e a mobilização de saberes no discurso do Escola sem Partido, que regularidades podem ser encontradas nos diferentes enunciados examinados? Tais questões apresentaram-se como ponto de partida para a pesquisa a fim de compreendermos os processos de objetivação/subjetivação produzidos pelo movimento escolar do Brasil contemporâneo, em que discurso, mídia e ensino estão conjugados. Para a realização deste trabalho, os corpora foram constituídos de dois materiais: o primeiro deles são os artigos 4o e 5o do PL 867/2015, que tratam dos deveres do professor e do espaço de regulação desses dizeres em sala de aula; o segundo é composto de dez publicações coletadas da página “Escola Sem Partido” na plataforma virtual do Facebook, entre os anos de 2016 e 2019. A análise está fundamentada nos postulados de Michel Foucault (2008, 2010, 2013, 2014a, 2014b), com contribuições de Deleuze (1996), Gregolin (2015) e Milanez (2019), visando a uma perspectiva de análise “arquegenealógica” do discurso.","['Movimento', 'escolar;Discurso.;Mídia;Ensino;Objetivação;Subjetivação']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10184899
38,Fundacao Joaquim Nabuco,Sociologia Em Rede Nacional ,25016016039P8,Percepções Docentes Sobre O Movimento Escola Sem Partido E O Debate “Doutrinação Ideológica” Em Relação À Disciplina E À Docência De Sociologia ,Sayara Francielle Camara Pimentel Santos,Dissertação,28/09/2020,"O objeto de estudo neste trabalho foi a disciplina e a docência de Sociologia no contexto do Movimento Escola Sem Partido e do debate “doutrinação ideológica”. Neste sentido, tivemos por objetivo analisar a percepção de docentes de Sociologia do Ensino Médio sobre o movimento e o referido debate. Para o desenvolvimento da pesquisa, que é de natureza qualitativa e quantitativa, articulamos estudo bibliográfico, análise documental e questionário, visando, respectivamente, investigar o Movimento Escola Sem Partido; caracterizar a compreensão dos docentes sobre o movimento e o debate “doutrinação ideológica” em relação à disciplina e à docência de Sociologia; e investigar as limitações que o movimento e o referido debate provocam na docência. Possibilitaram teórica e metodologicamente as análises o Ciclo de Políticas elaborado por Stephen Ball, que foi abordado, entre outras literaturas sobre políticas educacionais, a partir de Ball e Mainardes (2011); as teorias críticas do currículo com base em Moreira e Tadeu (2013) e Lopes (2015); as significações ideológicas baseadas em autores clássicos e contemporâneos das Ciências Sociais, considerando o livro elaborado por Žižek(2013) sobre ideologia; e o compêndio elaborado por Frigotto (2017) sobre o Movimento Escola Sem Partido. Empregamos a técnica de Análise de Conteúdo nos documentos e pronunciamentos do movimento, e também na análise das respostas dos docentes ao questionário eletrônico, elaborado no Google Forms. As análises evidenciaram que os docentes caracterizam o Movimento Escola Sem Partido como de extrema direita, que tem em sua base discursiva o conservadorismo, a censura e a opressão. As percepções docentes sobre o movimento evidenciaram-se em quatro subcategorias, as quais revelaram que para os pesquisados: 1) O movimento interfere dificultando e comprometendo o ensino de Sociologia; 2) O movimento impõe a Lei da Mordaça sobre os docentes de Sociologia; 3) O movimento é contra os princípios epistemológicos de Estranhamento e Desnaturalização, e deturpa os fundamentos teóricos da Sociologia; e 4) O movimento provoca nos estudantes pouca receptividade em relação à disciplina de Sociologia. Em relação à “doutrinação ideológica” os docentes indicaram que a expressão remete à imposição, condicionamento, transmissão, dominação e congêneres; e os mesmos confluem, em suas percepções, que o debate intitulado “doutrinação ideológica”, promovido pelo Movimento Escola Sem Partido, intenciona neutralizar e prejudicar tanto a disciplina quanto os docentes de Sociologia, ferindo, deste modo, a liberdade de cátedra e a gestão democrática no ensino.","['Doutrinação', 'Ideológica;Docência;Movimento', 'Escola', 'Sem', 'Partido;Sociologia.']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9486698
39,Universidade Estadual De Londrina,Sociologia ,40002012017P0,Feminismos E Antifeminismos Na Política Brasileira:  “Ideologia De Gênero” No Plano Nacional De Educação 2014,Meire Ellen Moreno,Dissertação,05/05/2016,"Neste trabalho, realizamos uma análise em torno do processo político de formulação do Plano Nacional de Educação 2014, especialmente no que diz respeito à recusa das referências aos termos “gênero” e “sexualidade/orientação sexual” do Plano. Nossa hipótese é a existência de uma onda de resistência à difusão e à inclusão dos discursos feministas e da agenda de gênero na formulação de políticas públicas, defendida e difundida principalmente por grupos religiosos e que ganha força e representação especialmente nos espaços tradicionais de tomada de decisões políticas, produzindo retrocessos na formulação de políticas educacionais com perspectiva de gênero. Assim, tivemos como objetivo geral a investigação das disputas políticas em torno de ideias e concepções de direitos entre grupos favoráveis e contrários à inclusão da agenda de gênero na política educacional brasileira. Os objetivos específicos foram: i) identificar e discutir as possíveis convergências e diferenças entre feminismo e antifeminismo para então revelar o “lugar” estratégico das políticas educacionais como campo de disputas no qual esses interesses se colocam; ii) descrever o Plano Nacional de Educação e seus objetivos, averiguar como se deu o seu processo de elaboração, assim como apresentar as rupturas e continuidades no que diz respeito às questões de gênero entre o PNE 2014 e seu precedente; iii) e, analisar quais são as ideias e concepções de direitos presentes no discurso dos grupos contrários à inclusão da perspectiva de gênero e da agenda feminista no PNE 2014, principalmente em relação ao gênero e seus nexos com os conceitos de sexualidade e família. Utilizamos a revisão bibliográfica, a pesquisa documental e Análise de Discurso Crítica (ADC), como recurso metodológico. Nosso estudo com a emergência da categoria gênero, o(s) movimento(s) feminista(s) passou(ram) a questionar as noções dicotômicas e biologizantes sobre as relações entre homens e mulheres. A pesquisa em torno das propostas dos organismos internacionais e do Estado brasileiro em termos de políticas educacionais com perspectiva de gênero, nos permitiu observar que para o conjunto das problemáticas levantadas são propostos eixos básicos para os quais recomenda-se que os esforços dos Estados nacionais sejam direcionados nas políticas públicas educacionais. Vimos que o Plano Nacional de Educação é um instrumento de planejamento do Estado brasileiro que orienta a execução e o aprimoramento de políticas públicas educacionais a partir da definição de objetivos e metas para a educação brasileira. Pudemos observar que os avanços nas discussões sobre políticas educacionais com perspectiva de gênero ocorreram nos momentos de participação da sociedade civil e dos movimentos sociais e que os principais momentos de inflexão ocorreram nas instâncias institucionais e tradicionais do poder político. O estudo revelou que grupos contrários à agenda de gênero e feminista tiveram participação relevante para o resultado do processo político do PNE 2014. Entendemos que o discurso antifeminista é uma resposta à organização e resultados alcançados pelas lutas feministas, especificamente, à emergência e usos do conceito de gênero na política internacional e brasileira. Destacamos, ainda, a importância da comunidade católica na construção desse discurso que se sustenta na defesa do binarismo, na insistência na fixidez dos papéis sociais de homens e mulheres, em uma certa concepção de igualdade e diferença que toma um como sinônimo do outro, que apresenta um abordagem ahistórica e acultural além de supor uma maximização do poder de influência do(s) feminismo(s).  ","['Feminismo(s);Antifeminismo(s);Política', 'Educacional;Gênero;Sexualidade']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4650911
40,Universidade Federal Do Paraná,Educação ,40001016001P0,"Da ""Ideologia De Gênero"" À Família Heteronormativa: Uma Análise Do Plano Municipal De Educação De Curitiba",Amanda Da Silva,Dissertação,14/12/2017,Considerando o momento político...,['xx'],https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5275561
41,Universidade Federal Da Paraíba ( João Pessoa ),Educação ,24001015001P4,Análise Da “Ideologia De Gênero” No Plano Municipal De Educação De João Pessoa - Pb (2015-2025),Joel Martins Cavalcante,Dissertação,20/07/2017,"O Plano Nacional de Educação (2014-2024) foi aprovado com a supressão da superação de desigualdades motivadas por gênero e orientação sexual e sem nenhuma meta ou estratégia indicada pela CONAE referente ao eixo 2 - Educação e diversidade: justiça social, inclusão e direitos humanos em virtude da pressão de grupos fundamentalistas no parlamento e seus aliados. A mesma pressão foi observada na votação do Plano Municipal de Educação de João Pessoa (PME-JP) - 2015-2025. O objetivo geral da dissertação é analisar as discussões em torno da diversidade de gênero e sexual – a “ideologia de gênero” – no processo de construção e aprovação do Plano Municipal de Educação de João Pessoa. Os objetivos específicos foram: fundamentar os Direitos Humanos na perspectiva contra-hegemônica e intercultural de modo a contribuir para o respeito às diversidades de gênero e sexual, entendendo o contexto histórico-conceitual e os aspectos normativos internacionais e nacionais que fundamentam a educação nesta perspectiva; analisar os embates entre os setores fundamentalistas e aliados com as demais forças políticas e o governo federal no debate das políticas educacionais nos últimos anos relativos à diversidade de gênero e sexual; e compreender os contextos discursivos pertinentes à “ideologia de gênero” na construção do Plano Municipal de Educação de João Pessoa. Trata-se de uma pesquisa qualitativa de natureza bibliográfica e documental, onde foram utilizados: leis, diretrizes nacionais, pactos e convenções internacionais, atas, planos, documentos das Conferencias Nacional e Municipal de Educação, blogs, sites, vídeos, postagens no facebook e instagram, notas públicas e técnicas, livros em torno da diversidade de gênero e sexual nos planos de educação. Os resultados comprovam as alianças entre os segmentos fundamentalistas e partidos políticos numa direção distinta e antagônica à CONAE contrária ao princípio da não discriminação e do respeito à diversidade como parte do jogo democrático, apesar disso, a diversidade de gênero e sexual encontra respaldo normativo para ser trabalhada na educação escolar. ","['Direitos', 'Humanos;Políticas', 'Educacionais;Diversidade', 'de', 'Gênero', 'e', 'Sexual;Plano', 'Nacional', 'de', 'Educação', 'e', 'Plano', 'Municipal', 'de', 'Educação']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6109126
42,Universidade Federal Da Bahia,Educação ,28001010001P9,Movimentos Formativos Contra-Hegemônicos Na Faculdade De Educação Da Ufba: Primavera Nos Dentes,Quenia Auana Loiola Carvalhal,Dissertação,03/10/2020,"Em tempos de defesa de projeto “escola sem partido”, nesse cenário ainda mais obscurantista, essa dissertação se caracteriza como um ensaio dissidente, fruto de uma pesquisa qualitativa narrativa, de inspiração etnográfica, que buscou conhecer alguns dos movimentos formativos contra-hegemônicos construídos pelo Coletivo de Mulheres do LeMarx: Grupo de Estudos Angela Davis, na Faculdade de Educação da UFBA. Para cumprir tal propósito, reconhecendo método como uma pauta política, buscamos o respeito como cuidado na condução de todo o processo, a construção de uma relação de parceria com as participantes, que nos possibilitou aprofundarmos juntas naquilo que nos inquieta, inspira e comove. Nesse intuito, como estratégias metodológicas para esse trabalho, realizamos observações participantes (presenciais e no grupo virtual), entrevistas individuais semiestruturadas, encontros em grupos reflexivos e fizemos uso de um formulário online. Esses dispositivos nos auxiliaram no cumprimento dos objetivos específicos deste trabalho, que foram: conhecer alguns dos movimentos formativos que o Coletivo vem construindo, assim como alguns dos desafios e possibilidades que o coletivo tem encontrado na construção desses movimentos, um pouco dos atravessamentos formativos que contribuíram e contribuem nessa peleja e dos desdobramentos desses movimentos nas vidas das participantes. Após a aprovação do Comitê de Ética, a proposta de pesquisa foi apresentada ao Coletivo. Os caminhos investigativos foram percorridos inspirados em referências interseccionalmente dissidentes. Numa certa concepção de educação (nada neutra), nos concentramos nas narrativas das participantes, no que foi visto, ouvido e vivido nos encontros. O texto aqui apresentado buscou, a partir do que foi colhido e construído junto ao Coletivo, pensar o Instituído como ponte para o Instituinte insurgente, a Teoria como luta por emancipação interseccionalmente coletiva e sua implicação com uma prática constante, assim como, a difusão de formações interseccionais e desmedicalizantes, por uma identidade coletiva de re-existência. Assumimos o compromisso de retornar à Instituição, o Coletivo e a Sociedade todo o resultado alcançado, apresentado nos capítulos dessa dissertação. Desejamos, com esse trabalho, contribuir com outros estudos implicados em visibilizar as insurgências coletivas, por acreditarmos na potência delas na construção de outros mundos possíveis. Sementes de rebeldia. Baobás que alimentam as vidas que vieram antes, as desse tempo e as que virão.","['Educação', 'Pública;Formação;Currículo;Movimentos', 'Formativos;Interseccionalidade;Desmedicalização']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10753345
43,Universidade De Brasília,Ciência  Política ,53001010026P2,“Ideologia De Gênero”? As Reações À Agenda Política De Igualdade De Gênero No Congresso  Nacional,Raniery Parra Teixeira,Dissertação,28/02/2019,"Esta dissertação analisa as proposições parlamentares que tratam do combate à agenda política de igualdade de gênero. A fonte principal de investigação foram as proposições parlamentares apresentadas sob a forma de projetos de leis, projetos de decretos legislativos, requerimentos (REQs) e requerimentos de informação (RICs) coletados no site da Câmara dos Deputados do Brasil. O objetivo da pesquisa foi o de investigar o modo de atuação política de grupos religiosos e conservadores no âmbito do Poder Legislativo Federal em torno da percepção que esses grupos têm acerca do que é uma “ideologia de gênero”. A hipótese principal que orienta essa investigação é a de que a emergência e consolidação da agenda de igualdade de gênero em nível transnacional encontrou, no Brasil, a articulação política de grupos religiosos conservadores altamente heterogêneos, que se mobilizam conjuntamente na esfera política para se oporem à efetivação da agenda de igualdade de gênero; e o fazem ativando cortes judiciais, disseminando estudos científicos favoráveis à sua pauta e mobilizando uma engenharia política que se fundamenta na difusão discursiva de que a agenda política de igualdade de gênero é, na verdade, uma “ideologia de gênero” que visa impor a efetivação e ampliação dos direitos sexuais e reprodutivos em âmbito (trans)nacional. Para cumprir com o objetivo proposto, empreendeu-se análise documental de 44 documentos, que são projetos de leis e decretos e requerimentos legislativos que tratam da “ideologia de gênero”. Os eixos da análise são: atores que têm mobilizado a expressão “ideologia de gênero”; tramitação das proposições e dinâmica político-partidária; vinculação dos atores políticos a instituições religiosas e/ou mobilização de identidade religiosa em sua atuação política; alianças entre pentecostais, neopentecostais, católicos e conservadores sem base religiosa definida.","['Religião;Política;Gênero;“Ideologia', 'de', 'Gênero”.']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7626222
44,Universidade Federal Do Rio Grande Do Sul,Educação ,42001013001P5,Distopia À Brasileira: A (Re)Produção Do Discurso Antigênero No Contexto Das Políticas Públicas Educacionais De Municípios Do Rio Grande Do Sul (2014-2019),Carlos Eduardo Barzotto,Dissertação,09/07/2020,"Esta dissertação problematiza a capilarização de discursos antigênero no contexto das políticas públicas educacionais do estado do Rio Grande do Sul ocorrida por conta do uso do sintagma “ideologia de gênero”. A partir dos Estudos de Gênero e dos Estudos Foucaultianos, analisa as atas das câmaras de vereadores de municípios gaúchos que foram palco de debates sobre a inserção das temáticas de gênero e sexualidade nas políticas públicas educacionais. O recorte temporal estabelecido, de 2014 a 2019, justifica-se pelo primeiro ser o ano de aprovação do Plano Nacional de Educação, que repercutiu nas discussões do Rio Grande do Sul e de seus municípios até o ano de 2019. O corpus empírico contou, então, com as atas legislativas de dez municípios do estado em que tais debates ocorreram. Com uma análise inspirada nas análises de discurso foucaultianas, foi descrito aqui um enunciado relacionado aos embates discursivos em torno da Educação, qual seja: a família e responsável pela educação (moral), e a escola pelo aprendizado. A partir dele, desenvolvem-se duas estratégias discursivas, cujos significados visam (re)configurar as arenas público e privada. O primeiro deles relaciona-se ao contexto de neoliberalização e do consequente avanço da racionalidade neoliberal, em que a família é vista como célula básica da sociedade e que o seu direito privado invade o direito público. Nesse sentido, considerou-se que o sintagma “ideologia de gênero” atua como ponto de intersecção entre uma racionalidade neoliberal e certos tipos de racionalidades conservadoras. O segundo deles relaciona-se ao contexto de (re)cristianização dos espaços públicos, compreendendo que “ideologia de gênero” é uma estratégia discursiva que não só é empregada de modo a borrar as fronteiras entre o público e o privado, mas também que ela é utilizada de modo a incentivar a produção de uma cidadania religiosa. A partir desse enunciado, mapeou-se um duplo movimento de invasão da educação pública pelo direito privado e pela moralização apresentada pelas racionalidades que o fazem.","['Cidadania', 'Religiosa;Neoliberalismo;Estudos', 'Foucaultianos;Ideologia', 'de', 'Gênero;Estudos', 'de', 'Gênero']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10272375
